# 輕量英翻中詞典
# 格式：英文<Tab>中文1|中文2|中文3
hello	你好|哈囉
hi	你好|嗨
thanks	謝謝|感謝
thank you	謝謝|感謝你
sorry	抱歉|對不起
please	請|麻煩
yes	是|好
no	不|不是
ok	好|可以|沒問題
maybe	也許|可能
bye	再見|掰掰
good morning	早安
good afternoon	午安
good evening	晚上好
good night	晚安
how are you	你好嗎
see you	回頭見|再見
email	電子郵件|郵件
phone	電話|手機
meeting	會議
schedule	行程|排程
project	專案|計畫
report	報告
document	文件
file	檔案
folder	資料夾
database	資料庫
server	伺服器
system	系統
network	網路
password	密碼
account	帳號
login	登入
logout	登出
save	儲存
open	開啟
close	關閉
delete	刪除
update	更新
edit	編輯
copy	複製
paste	貼上
cut	剪下
search	搜尋
find	查找
confirm	確認
cancel	取消
success	成功
failed	失敗
error	錯誤
warning	警告
message	訊息
customer	客戶
user	使用者
manager	主管
team	團隊
company	公司
invoice	發票
order	訂單
price	價格
payment	付款
contract	合約
address	地址
name	名稱|姓名
date	日期
time	時間
today	今天
tomorrow	明天
yesterday	昨天
week	星期|週
month	月份|月
year	年份|年
